sub	ses	age	gender	handedness
A00080819	BAS1	57	M	R
A00080819	FLU1	58	M	R
A00080819	FLU2	59	M	R
A00080818	BAS1	8	M	R
A00080818	FLU1	9	M	R
A00080818	FLU2	10	M	R
A00080818	TRT	8	M	R
A00080811	BAS1	55	F	R
A00080811	FLU1	56	F	R
A00080535	BAS1	65	F	R
A00080455	BAS1	6	M	L
A00080453	BAS1	21	F	R
A00080452	BAS1	22	M	R
A00080447	BAS1	22	F	R
A00080428	BAS1	71	F	R
A00080428	FLU1	72	F	R
A00080327	BAS1	9	M	R
A00080327	FLU1	10	M	R
A00080327	TRT	9	M	R
A00080052	BAS1	46	M	
A00080052	FLU1	47	M	
A00080052	FLU2	48	M	
A00079977	BAS1	51	F	R
A00079977	FLU1	52	F	R
A00079977	FLU2	53	F	R
A00079931	BAS1	6	F	R
A00079907	BAS1	22	M	L
A00079850	BAS1	57	M	L
A00079850	FLU1	58	M	L
A00079850	FLU2	59	M	L
A00079818	BAS1	11	M	R
A00079818	TRT	11	M	R
A00079777	BAS1	50	M	
A00079776	BAS1	14	M	R
A00079776	FLU1	15	M	R
A00079776	FLU2	17	M	R
A00079776	TRT	15	M	R
A00079775	BAS1	43	F	R
A00079775	BAS2	44	F	R
A00079775	FLU1	45	F	R
A00079747	BAS1	33	F	R
A00079730	BAS1	70	M	R
A00079730	FLU1	71	M	R
A00079730	FLU2	72	M	R
A00079724	BAS1	61	M	R
A00079724	FLU1	62	M	R
A00079724	FLU2	63	M	R
A00079715	BAS1	44	F	R
A00079715	FLU1	45	F	R
A00079710	BAS1	10	M	R
A00079702	BAS1	26	F	R
A00079422	BAS1	49	M	R
A00079353	BAS1	32	M	R
A00079337	BAS1	12	M	R
A00079337	TRT	12	M	R
A00079334	BAS1	64	M	R
A00079302	BAS1	65	F	R
A00079302	FLU1	66	F	R
A00079301	BAS1	67	M	R
A00079301	FLU1	69	M	R
A00079292	BAS1	45	F	R
A00079292	FLU1	46	F	R
A00078823	BAS1	40	F	L
A00078262	BAS1	50	M	R
A00078262	FLU1	50	M	R
A00078262	FLU2	51	M	R
A00078239	BAS1	6	F	R
A00078239	FLU1	7	F	R
A00078239	FLU2	8	F	R
A00078238	BAS1	34	F	L
A00077758	BAS1	34	M	R
A00077755	BAS1	12	M	R
A00077755	TRT	12	M	R
A00077753	BAS1	10	F	R
A00077753	FLU1	11	F	R
A00077753	FLU2	12	F	R
A00077734	BAS1	26	M	L
A00077733	BAS1	25	F	R
A00077668	BAS1	13	F	
A00077668	FLU1	14	F	
A00077668	FLU2	15	F	
A00077668	TRT	13	F	
A00077638	BAS1	6	M	R
A00077638	TRT	6	M	R
A00077637	BAS1	32	F	R
A00077622	BAS1	68	M	R
A00077585	BAS1	64	M	R
A00077585	FLU1	65	M	R
A00077585	FLU2	66	M	R
A00077577	BAS1	8	M	L
A00077577	FLU1	10	M	L
A00077577	TRT	8	M	L
A00077574	BAS1	12	F	R
A00077574	FLU1	13	F	R
A00077574	TRT	12	F	R
A00077573	BAS1	44	F	L
A00077573	FLU1	46	F	L
A00077556	BAS1	71	F	R
A00077556	FLU1	73	F	R
A00077556	FLU2	74	F	R
A00077528	BAS1	48	F	R
A00077528	FLU1	49	F	R
A00077528	FLU2	50	F	R
A00077453	BAS1	13	M	R
A00077453	FLU1	14	M	R
A00077453	FLU2	15	M	R
A00077453	TRT	14	M	R
A00077413	BAS1	44	F	R
A00077413	FLU1	45	F	R
A00077413	FLU2	46	F	R
A00077412	BAS1	8	F	R
A00077412	FLU1	9	F	R
A00077412	FLU2	10	F	R
A00077412	TRT	8	F	R
A00077397	BAS1	7	M	R
A00077397	FLU1	9	M	R
A00077397	FLU2	10	M	R
A00077395	BAS1	12	M	R
A00077391	BAS1	57	F	R
A00077391	FLU1	59	F	R
A00077311	BAS1	65	F	R
A00077311	FLU1	66	F	R
A00077311	FLU2	67	F	R
A00077304	BAS1	55	F	L
A00077304	FLU1	56	F	L
A00077304	FLU2	57	F	L
A00077252	BAS1	64	M	R
A00077252	FLU1	65	M	R
A00077252	FLU2	66	M	R
A00077213	BAS1	67	F	R
A00077213	FLU1	68	F	R
A00077204	BAS1	31	F	L
A00077203	BAS1	15	F	R
A00077203	FLU1	17	F	R
A00077203	FLU2	18	F	R
A00077203	TRT	15	F	R
A00077201	BAS1	12	F	R
A00077201	FLU1	14	F	R
A00077201	TRT	12	F	R
A00077199	BAS1	13	F	R
A00077192	BAS1	63	M	
A00077188	BAS1	52	F	R
A00077188	FLU1	53	F	R
A00077188	FLU2	54	F	R
A00077184	BAS1	50	F	R
A00077184	FLU2	52	F	R
A00077183	BAS1	57	M	
A00077182	BAS1	34	F	R
A00077181	BAS1	57	M	R
A00077181	FLU1	58	M	R
A00077181	FLU2	59	M	R
A00077144	BAS1	63	F	R
A00077134	BAS1	67	M	R
A00077134	FLU1	68	M	R
A00077134	FLU2	69	M	R
A00077111	BAS1	57	F	
A00077109	BAS1	21	F	R
A00077099	BAS1	69	M	R
A00077099	FLU1	70	M	R
A00077099	FLU2	71	M	R
A00077095	BAS1	54	F	R
A00077091	BAS1	55	M	R
A00077091	FLU1	56	M	R
A00077091	FLU2	57	M	R
A00077088	BAS1	47	F	R
A00077088	FLU1	48	F	R
A00077088	FLU2	48	F	R
A00076941	BAS1	10	M	L
A00076941	FLU1	11	M	L
A00076941	TRT	10	M	L
A00076863	BAS1	49	F	R
A00076798	BAS1	69	F	R
A00076775	BAS1	43	F	R
A00076775	FLU1	44	F	R
A00076775	FLU2	45	F	R
A00076764	BAS1	70	F	R
A00076764	FLU1	71	F	R
A00076759	BAS1	13	M	R
A00076759	FLU1	14	M	R
A00076759	FLU2	15	M	R
A00076759	TRT	13	M	R
A00076757	BAS1	70	F	R
A00076755	BAS1	15	M	R
A00076755	FLU1	16	M	R
A00076755	FLU2	17	M	R
A00076755	TRT	15	M	R
A00076751	BAS1	68	M	R
A00076751	FLU1	69	M	R
A00076751	FLU2	70	M	R
A00076746	BAS1	66	F	R
A00076746	FLU1	67	F	R
A00076746	FLU2	68	F	R
A00076744	BAS1	41	F	R
A00076600	BAS1	68	F	R
A00076600	FLU1	69	F	R
A00076595	BAS1	14	M	R
A00076595	FLU1	15	M	R
A00076595	FLU2	16	M	R
A00076595	TRT	14	M	R
A00076594	BAS1	62	F	R
A00076594	FLU1	63	F	R
A00076594	FLU2	64	F	R
A00076586	BAS1	50	F	R
A00076586	FLU1	51	F	R
A00076574	BAS1	10	F	R
A00076574	FLU1	11	F	R
A00076574	FLU2	12	F	R
A00076574	TRT	12	F	R
A00076568	BAS1	8	M	L
A00076568	FLU1	9	M	L
A00076568	FLU2	10	M	L
A00076568	TRT	10	M	L
A00076559	BAS1	63	F	R
A00076559	FLU1	64	F	R
A00076559	FLU2	65	F	R
A00076546	BAS1	61	F	
A00076546	FLU1	62	F	
A00076546	FLU2	63	F	
A00076381	BAS1	52	M	R
A00076381	FLU1	53	M	R
A00076381	FLU2	54	M	R
A00076380	BAS1	44	F	R
A00076380	FLU2	46	F	R
A00075964	BAS1	27	F	R
A00075898	BAS1	56	F	R
A00075898	FLU1	57	F	R
A00075898	FLU2	58	F	R
A00075896	BAS1	21	M	R
A00075895	BAS1	67	F	R
A00075895	FLU1	68	F	R
