participant_id,session,age,gender,handedness
A00055462,FLU1,16,M,R
A00055462,FLU2,18,M,R
A00055462,TRT,15,M,R
A00055541,BAS1,9,M,R
A00055612,BAS1,8,F,L
A00055612,FLU1,9,F,L
A00055612,FLU2,11,F,L
A00055612,TRT,8,F,L
A00055624,BAS1,10,F,R
A00055624,FLU1,12,F,R
A00055693,BAS1,8,F,L
A00055693,FLU1,9,F,L
A00055693,FLU2,10,F,L
A00055693,TRT,8,F,L
A00055727,BAS1,8,F,R
A00055727,FLU2,11,F,R
A00055727,TRT,8,F,R
A00055728,BAS1,9,F,R
A00055728,FLU2,12,F,R
A00055728,TRT,9,F,R
A00055738,BAS1,25,F,R
A00055765,BAS1,9,M,R
A00055832,BAS1,6,F,R
A00055832,FLU1,7,F,R
A00055866,BAS1,9,F,R
A00055866,TRT,9,F,R
A00055867,BAS1,15,M,R
A00055867,TRT,15,M,R
A00055903,BAS1,8,F,R
A00055903,TRT,8,F,R
A00055906,BAS1,15,M,R
A00055907,BAS1,7,F,R
A00055907,BAS1,7,F,R
A00055907,FLU2,10,F,R
A00055907,TRT,7,F,R
A00055908,BAS1,10,M,R
A00055908,FLU1,11,M,R
A00055908,TRT,10,M,R
A00055920,BAS1,9,F,R
A00055920,FLU1,11,F,R
A00055920,FLU2,12,F,R
A00055920,TRT,9,F,R
A00055921,FLU1,9,F,R
A00055921,FLU2,10,F,R
A00055921,TRT,10,F,R
A00055946,BAS1,7,F,R
A00055946,FLU1,9,F,R
A00055946,FLU2,10,F,R
A00055946,TRT,10,F,R
A00055991,BAS1,15,F,R
A00055991,TRT,15,F,R
A00056020,BAS1,6,M,R
A00056020,FLU1,8,M,R
A00056020,FLU2,9,M,R
A00056020,TRT,9,M,R
A00056022,BAS1,9,M,R
A00056022,FLU1,11,M,R
A00056022,FLU2,12,M,R
A00056022,TRT,9,M,R
A00056138,BAS1,15,M,R
A00056138,FLU1,16,M,R
A00056138,TRT,15,M,R
A00056198,BAS1,9,F,R
A00056198,FLU1,10,F,R
A00056198,FLU2,11,F,R
A00056198,TRT,9,F,R
A00056295,FLU1,14,M,R
A00056295,FLU2,15,M,R
A00056295,TRT,12,M,R
A00056307,BAS1,8,F,R
A00056307,FLU1,10,F,R
A00056307,FLU2,11,F,R
A00056419,BAS1,6,F,R
A00056419,FLU2,9,F,R
A00056419,TRT,9,F,R
A00056420,BAS1,9,M,R
A00056420,FLU1,10,M,R
A00056420,FLU2,11,M,R
A00056420,TRT,9,M,R
A00056453,BAS1,17,M,R
A00056470,BAS1,12,F,R
A00056470,TRT,12,F,R
A00056605,BAS1,14,F,L
A00056605,FLU1,16,F,L
A00056605,FLU2,17,F,L
A00056605,TRT,14,F,L
A00056627,BAS1,22,F,R
A00056628,BAS1,13,M,R
A00056679,BAS1,9,F,R
A00056679,FLU1,11,F,R
A00056679,FLU2,12,F,R
A00056679,TRT,9,F,R
A00056703,BAS1,16,M,R
A00056746,BAS1,8,M,R
A00056746,FLU2,10,M,R
A00056746,TRT,8,M,R
A00056830,BAS1,8,F,R
A00056830,FLU2,11,F,R
A00056898,BAS1,22,F,R
A00056919,BAS1,25,M,R
A00056920,BAS1,10,M,R
A00056920,TRT,10,M,R
A00057005,BAS1,21,M,R
A00057035,BAS1,23,M,R
A00057076,BAS1,7,M,R
A00057076,FLU1,8,M,R
A00057076,FLU2,9,M,R
A00057076,TRT,8,M,R
A00057182,BAS1,21,F,R
A00057203,BAS1,21,F,R
A00057235,BAS1,21,F,R
A00057405,BAS1,13,F,R
A00057405,FLU1,14,F,R
A00057405,FLU2,16,F,R
A00057405,TRT,13,F,R
A00057406,BAS1,21,F,R
A00057444,BAS1,23,F,R
A00057480,BAS1,10,M,L
A00057480,FLU1,12,M,L
A00057480,FLU2,13,M,L
A00057480,TRT,10,M,L
A00057725,BAS1,7,F,R
A00057725,FLU1,8,F,R
A00057725,FLU2,9,F,R
A00057725,TRT,7,F,R
A00057726,FLU2,12,M,
A00057726,TRT,12,M,
A00057786,BAS1,22,F,R
A00057809,BAS1,8,F,R
A00057809,FLU1,9,F,R
