sub,ses
A00083923,BAS1
A00081123,BAS1
A00085796,BAS1
A00081727,BAS1
A00065792,BAS1
A00051528,BAS1
A00073296,BAS1
A00051678,BAS1
A00077577,BAS1
A00008326,BAS2
A00063110,BAS1
A00081735,BAS1
A00082969,BAS1
A00060603,BAS1
A00074701,BAS1
A00063473,BAS1
A00056022,BAS1
A00081552,BAS1
A00044171,BAS1
A00082805,BAS1
A00053578,BAS1
A00066130,BAS1
A00054534,BAS1
A00062982,BAS1
A00066572,BAS1
A00055962,BAS1
A00054621,BAS1
A00061274,BAS1
A00061284,BAS1
A00083207,BAS1
A00075744,BAS1
A00074780,BAS1
A00079724,BAS1
A00085003,BAS1
A00083574,BAS1
A00059911,BAS1
A00061275,BAS1
A00055866,TRT
A00052614,BAS1
A00057862,BAS1
A00056164,BAS1
A00061787,BAS1
A00039391,BAS2
A00035561,FLU1
A00060493,FLU1
A00061923,BAS1
A00074425,BAS1
A00058621,BAS1
A00051517,BAS1
A00037848,BAS2
A00075193,BAS1
A00075229,BAS1
A00083983,BAS1
A00060252,BAS1
A00038642,BAS2
A00064323,BAS1
A00065873,BAS1
A00055215,BAS1
A00063329,BAS1
A00060301,BAS1
A00083963,BAS1
A00050940,BAS1
A00044344,BAS1
A00032875,BAS2
A00043635,BAS1
A00076574,BAS1
A00065574,BAS1
A00044011,BAS1
A00066314,BAS1
A00074000,BAS1
A00039820,BAS2
A00073539,BAS1
A00083687,BAS1
A00077203,BAS1
A00075361,BAS1
A00061714,BAS1
A00066389,BAS1
A00043324,BAS1
A00058644,BAS1
A00067146,BAS1
A00079422,BAS1
A00056306,BAS1
A00077733,BAS1
A00053474,BAS1
A00060848,BAS1
A00077088,BAS1
A00043634,BAS1
A00082442,BAS1
A00074687,BAS1
A00055061,BAS1
A00066788,BAS1
A00053490,BAS1
A00050977,BAS1
A00043790,BAS1
A00066153,BAS1
A00077622,BAS1
A00074793,BAS1
A00053369,BAS1
A00076751,BAS1
A00077183,BAS1
A00074959,FLU1
A00082619,BAS1
A00055121,BAS1
