bblid,sub
80910,1734833041
80925,2671138315
80938,3171097484
80941,3040355856
80955,3254650303
80961,1163553824
80964,3468365190
80970,3128765993
80973,1063451174
80976,3028523904
80985,1493436107
80988,4175643968
80993,3559439726
80996,1607064776
81002,2101322435
81005,255089519
81007,3525727457
81016,167346540
81022,2371741939
81025,4283830623
81028,1588679380
81031,2341483248
81037,2710966493
81039,1484556503
81040,2846698817
81043,749926734
81046,2807273704
81047,4284367721
81055,2711503595
81062,2686844795
81065,3526231767
81068,1942570332
81078,4028320592
81083,932901942
81085,962871711
81087,3832958481
81093,3024681530
81098,458296344
81125,1678405497
81142,3407596397
81151,3453358446
81157,3889181507
81159,507161417
81162,997818717
81172,3098251089
81178,1799828854
81208,2060979923
81211,2952359671
81222,1498873540
81225,727517032
81231,1604003015
81233,2792471757
81252,127839600
81257,2827443026
81262,1949231436
81265,103092448
81271,1927492431
81274,4177679081
81287,813520934
81303,70795458
81305,180811115
81313,2280279758
81319,2917952739
81323,4099541746
81329,3730581727
81340,2891940677
81353,2861717830
81355,2758601967
81359,2157214571
81361,550012272
81364,2871649494
81372,637886323
81375,1410246367
81378,4125746516
81381,3414344248
81387,3783581717
81401,2228062949
81407,2932582600
81409,1461792962
81412,2181058790
81414,2365515087
81422,4054848730
81431,4152217305
81442,749357410
81444,575995083
81447,2209595200
81450,1452466020
81456,1483500237
81462,3704095570
81465,2932079358
81468,254065013
81470,2800784724
81486,3231082937
81489,1634806322
81506,3113294680
81508,2640940252
81511,1212738808
81515,3210527067
81521,1006151876
81526,1240682856
81528,1829488364
81533,1103118018
81541,3873633660
81544,1828951258
81560,1786114889
81565,3784610543
81570,3920100677
81582,2027236363
81595,2299321259
81598,686528544
81604,2441231201
81612,481198276
81618,3477224163
81630,354833150
81633,2419689201
81641,924536143
81644,3170512105
81650,3359379270
81656,3334650607
81659,1730541924
81662,1114035056
81665,812460764
81676,916517087
81691,2950778427
81697,2246536214
81705,2720014197
81713,789357776
81718,2148881138
81725,1380078917
81727,2404408011
81729,1991951041
81736,1418694470
81739,4117286093
81745,2404911357
81748,784288630
81751,4221446994
81754,1887390452
81757,3516402047
81760,4108002155
81763,1908733796
81774,2149384388
81777,570049359
81786,292540810
81788,899106318
81790,2621663791
81797,3400532999
81800,3248782099
81805,1246042805
81807,2539066683
81817,344267575
81826,1060668554
81837,3840364807
81840,3973868699
81852,2531588765
81855,3840869169
81861,1615555246
81865,2539603725
81870,2674665639
81876,2442304782
81887,2701594571
81890,1948676079
81900,2398294786
81903,200066829
81906,2148378283
81909,569042208
81912,4106978564
81929,3515395856
81931,2176195387
81934,173505181
81939,1381671196
81943,647286917
81946,2910171427
81947,4118309538
81949,210956968
81964,2768069401
81970,3493544118
81973,1428460729
81976,3737515295
81982,1095340536
81989,398131152
81992,3264978932
81995,2962253400
82003,3204472167
82018,2479596873
82021,3062402909
82039,3870702454
82042,4002219754
82045,2626092870
82048,1029815501
82051,3896564969
82054,1671544143
82060,3875919056
82063,1645871327
82066,3925565817
82087,1522335152
82092,1987511710
82095,75299890
82096,2170759229
82099,545549238
82105,715298536
82111,1583658311
82124,2788528349
82138,4176843103
82143,153367753
82146,2193970543
82149,589436644
82155,2215153516
82161,11331315
82164,2337113941
82167,715834590
82170,4287341818
82172,107035888
82175,1953154396
82177,2843265746
82180,2534665662
82186,2582468631
82194,3822439953
82196,440358427
82199,3151500688
82202,402523989
82208,3289562482
82217,993394555
82220,511104367
82226,277373126
82229,2976850765
82232,1682850665
82249,1819639541
82252,3109297873
82261,1341886178
82267,1711123663
82270,2967260395
82272,1228297441
82275,993897805
82278,2598039238
82281,2763114922
82287,2394418055
82290,1536592803
82293,3733544876
82311,3234489701
82316,2999033033
82322,912651606
82325,1148062970
82328,3850981233
82336,1118033657
82347,1147559628
82349,3180119750
82351,3987895021
82353,341371623
82359,1046399178
82361,2650945233
82364,367220599
82373,3829047511
82383,2359486867
82386,121866293
82399,628540850
82409,3924525923
82412,1019929415
82420,3062906737
82423,865069950
82426,3094252248
82431,1236761976
82445,3765109615
82453,1833416906
82458,3260960488
82464,1828455770
82467,3441116881
82470,406464245
82475,2480621395
82489,3753613715
82492,177928631
82497,2776829845
82503,2361051487
82511,4135739225
82521,2234653541
82527,2939435336
82532,2214576486
82537,753284932
82545,2939972478
82548,249243893
82551,3690612945
82554,1343957367
82559,135721718
82565,1600004430
82568,4273562309
