Datasets,CBF.GM,CBF.WM,CBFTYPE
PNC,63.039755,24.957209,SCBF
PNC,84.190455,41.19143,SCBF
PNC,71.773555,40.292341,SCBF
PNC,91.017839,37.874942,SCBF
PNC,68.158344,33.633448,SCBF
PNC,66.69736,32.258995,SCBF
PNC,76.600285,32.50267,SCBF
PNC,61.751153,40.920454,SCBF
PNC,81.408799,41.783413,SCBF
PNC,69.699225,46.86678,SCBF
PNC,62.83989,27.556409,SCBF
PNC,84.577603,49.248188,SCBF
PNC,107.931199,42.199262,SCBF
PNC,76.101442,37.076612,SCBF
PNC,57.351637,30.874601,SCBF
PNC,89.284191,30.189998,SCBF
PNC,87.569826,49.974101,SCBF
PNC,78.402386,32.013792,SCBF
PNC,89.893111,41.674037,SCBF
PNC,66.979069,31.121098,SCBF
PNC,53.246601,20.667776,SCBF
PNC,90.449047,41.174581,SCBF
PNC,104.235962,55.976769,SCBF
PNC,58.432962,37.604148,SCBF
PNC,78.044145,44.582869,SCBF
PNC,67.397599,40.865468,SCBF
PNC,65.653613,37.91486,SCBF
PNC,113.33035,50.94452,SCBF
PNC,60.724063,31.495485,SCBF
PNC,44.888886,31.189029,SCBF
PNC,112.415697,47.246583,SCBF
PNC,66.939925,31.782111,SCBF
PNC,61.316232,28.320374,SCBF
PNC,83.994861,40.400465,SCBF
PNC,67.708434,41.694646,SCBF
PNC,78.098433,36.896803,SCBF
PNC,61.157676,38.824599,SCBF
PNC,89.556725,54.09614,SCBF
PNC,59.161469,33.626269,SCBF
PNC,68.141262,33.994839,SCBF
PNC,88.156683,41.742225,SCBF
PNC,71.684423,28.662928,SCBF
PNC,80.210441,32.831456,SCBF
PNC,44.561816,25.898996,SCBF
PNC,76.149469,37.710371,SCBF
PNC,45.165155,28.224484,SCBF
PNC,110.48088,57.933968,SCBF
PNC,70.576177,33.093038,SCBF
PNC,86.314537,37.312232,SCBF
PNC,85.29706,39.726843,SCBF
PNC,93.745406,49.008154,SCBF
PNC,60.381846,27.438519,SCBF
PNC,66.612743,25.145719,SCBF
PNC,65.568054,35.085611,SCBF
PNC,71.518641,32.616617,SCBF
PNC,99.074499,47.826852,SCBF
PNC,69.083791,27.786963,SCBF
PNC,85.940399,37.081438,SCBF
PNC,68.590257,35.127407,SCBF
PNC,84.200001,46.394364,SCBF
PNC,54.671484,32.665526,SCBF
PNC,89.421489,38.54992,SCBF
PNC,87.188754,43.513341,SCBF
PNC,58.894102,25.302646,SCBF
PNC,73.998687,34.558417,SCBF
PNC,76.136853,34.887875,SCBF
PNC,76.596683,35.456726,SCBF
PNC,75.102941,37.850743,SCBF
PNC,63.889567,42.761262,SCBF
PNC,58.337294,21.890372,SCBF
PNC,77.329432,34.877956,SCBF
PNC,98.2423,56.979857,SCBF
PNC,75.093728,31.670283,SCBF
PNC,91.716137,35.8792,SCBF
PNC,65.731325,34.815125,SCBF
PNC,69.026402,39.840392,SCBF
PNC,88.496477,35.81178,SCBF
PNC,54.360616,24.621026,SCBF
PNC,59.983873,27.600802,SCBF
PNC,60.916136,30.35253,SCBF
PNC,83.810162,34.962697,SCBF
PNC,84.524975,55.35223,SCBF
PNC,74.94582,38.234952,SCBF
PNC,68.077675,30.603209,SCBF
PNC,58.377818,32.942364,SCBF
PNC,73.742141,24.853442,SCBF
PNC,68.047129,35.15491,SCBF
PNC,74.967475,29.546597,SCBF
PNC,70.510789,34.648461,SCBF
PNC,64.931845,47.970277,SCBF
PNC,79.382895,31.669585,SCBF
PNC,76.848848,39.49644,SCBF
PNC,80.096509,36.38852,SCBF
PNC,72.908493,26.134967,SCBF
PNC,91.608572,43.887258,SCBF
PNC,71.674959,38.243586,SCBF
PNC,64.996482,31.100706,SCBF
PNC,95.664393,46.382245,SCBF
PNC,61.259004,32.83049,SCBF
PNC,66.550996,29.933696,SCBF
PNC,81.24776,46.897918,SCBF
PNC,61.383076,36.483553,SCBF
PNC,70.17301,32.436711,SCBF
PNC,72.707744,37.205294,SCBF
PNC,55.203581,21.917555,SCBF
PNC,82.598167,44.083723,SCBF
PNC,47.413129,28.625261,SCBF
PNC,80.424848,46.659245,SCBF
PNC,100.809892,48.672682,SCBF
PNC,110.685755,46.326683,SCBF
PNC,53.305539,41.885244,SCBF
PNC,96.553096,43.639463,SCBF
PNC,63.690034,22.563944,SCBF
PNC,102.651381,55.526019,SCBF
