Datasets,CBF,CBFTYPE,AGE
PNC,78.7429,SCBF,11.83333333
PNC,90.462669,SCBF,12.41666667
PNC,98.746892,SCBF,9.666666667
PNC,86.429781,SCBF,13
PNC,82.857425,SCBF,11.08333333
PNC,85.710773,SCBF,14.33333333
PNC,62.813405,SCBF,19.25
PNC,81.271789,SCBF,8.833333333
PNC,114.138129,SCBF,8.333333333
PNC,70.727866,SCBF,19.16666667
PNC,78.921767,SCBF,10.58333333
PNC,77.062125,SCBF,13.41666667
PNC,117.132887,SCBF,9.916666667
PNC,101.587443,SCBF,12.16666667
PNC,72.274714,SCBF,15.91666667
PNC,67.032654,SCBF,12.16666667
PNC,67.431511,SCBF,16.41666667
PNC,80.367232,SCBF,15.91666667
PNC,88.433383,SCBF,11
PNC,57.722258,SCBF,19.91666667
PNC,98.090212,SCBF,10.58333333
PNC,57.625806,SCBF,21.25
PNC,86.542777,SCBF,17.75
PNC,62.397379,SCBF,18.16666667
PNC,103.942811,SCBF,10.16666667
PNC,85.359043,SCBF,16.83333333
PNC,62.104425,SCBF,18.83333333
PNC,62.252761,SCBF,17.08333333
PNC,78.563362,SCBF,13.58333333
PNC,75.466842,SCBF,19.08333333
PNC,77.160527,SCBF,17.16666667
PNC,54.295618,SCBF,18
PNC,67.032802,SCBF,14.25
PNC,66.842157,SCBF,12.08333333
PNC,72.479743,SCBF,17.83333333
PNC,65.731354,SCBF,17.58333333
PNC,101.465979,SCBF,8.916666667
PNC,81.525949,SCBF,9.75
PNC,64.063733,SCBF,18.25
PNC,91.375123,SCBF,9.25
PNC,60.566088,SCBF,20.66666667
PNC,70.677744,SCBF,14.5
PNC,60.087559,SCBF,16.83333333
PNC,44.672502,SCBF,18.16666667
PNC,76.502531,SCBF,16.5
PNC,96.920506,SCBF,11.58333333
PNC,58.478468,SCBF,19.58333333
PNC,57.723813,SCBF,19.25
PNC,88.421146,SCBF,10.25
PNC,96.501232,SCBF,10.08333333
PNC,84.115892,SCBF,12.33333333
PNC,81.781273,SCBF,17.75
PNC,89.657781,SCBF,15.58333333
PNC,86.680042,SCBF,9.416666667
PNC,68.355539,SCBF,16.58333333
PNC,85.782973,SCBF,9.416666667
PNC,89.165721,SCBF,9.833333333
PNC,95.764441,SCBF,8.25
PNC,117.277461,SCBF,8.75
PNC,83.66809,SCBF,15.5
PNC,59.019115,SCBF,17.58333333
PNC,86.079721,SCBF,10
PNC,73.732812,SCBF,21.16666667
PNC,96.772508,SCBF,13.16666667
PNC,49.747926,SCBF,16.83333333
PNC,61.266087,SCBF,14.08333333
PNC,67.120944,SCBF,18.83333333
PNC,66.974498,SCBF,18
PNC,88.969691,SCBF,11.5
PNC,45.197252,SCBF,20.66666667
PNC,45.972957,SCBF,16
PNC,56.447631,SCBF,16.08333333
PNC,82.887209,SCBF,19.41666667
PNC,65.770538,SCBF,15.66666667
PNC,94.477005,SCBF,11.41666667
PNC,89.068514,SCBF,9.25
PNC,66.006427,SCBF,17
PNC,87.519502,SCBF,20.66666667
PNC,52.001445,SCBF,15.75
PNC,96.239784,SCBF,10.75
PNC,80.662801,SCBF,12.75
PNC,77.016827,SCBF,14.91666667
PNC,68.212257,SCBF,17.08333333
PNC,91.295281,SCBF,10.5
PNC,59.225788,SCBF,17
PNC,88.873286,SCBF,10.33333333
PNC,88.478889,SCBF,17.83333333
PNC,110.408287,SCBF,10.91666667
PNC,77.42067,SCBF,10.83333333
PNC,51.920482,SCBF,21.25
PNC,84.098848,SCBF,12.08333333
PNC,78.366512,SCBF,17.58333333
