Datasets,CBFTYPE,QEI,FD
PNC,SCBF,0.576169432,0.204667327
PNC,SCBF,0.5774452,0.731630969
PNC,SCBF,0.684745844,0.138017131
PNC,SCBF,0.629445072,0.093351911
PNC,SCBF,0.708067074,0.124068401
PNC,SCBF,0.532433297,0.18126292
PNC,SCBF,0.714631584,0.176564424
PNC,SCBF,0.654743705,0.120440944
PNC,SCBF,0.752666467,0.094664694
PNC,SCBF,0.697609227,0.087211778
PNC,SCBF,0.26966183,0.290370604
PNC,SCBF,0.659564638,0.185538801
PNC,SCBF,0.743549884,0.125057111
PNC,SCBF,0.629846992,0.23810522
PNC,SCBF,0.726192473,0.092910752
PNC,SCBF,0.347561153,0.259382791
PNC,SCBF,0.61338758,0.186871699
PNC,SCBF,0.653932017,0.14930919
PNC,SCBF,0.6866351,0.221536194
PNC,SCBF,0.590944527,0.574567635
PNC,SCBF,0.559952183,0.129639225
PNC,SCBF,0.723985266,0.163294389
PNC,SCBF,0.546361461,0.128768633
PNC,SCBF,0.656558882,0.143296604
PNC,SCBF,0.613127685,0.375540457
PNC,SCBF,0.741526684,0.110315074
PNC,SCBF,0.617399381,0.128788254
PNC,SCBF,0.761247871,0.088706792
PNC,SCBF,0.70646126,0.096096672
PNC,SCBF,0.682438852,0.080793894
PNC,SCBF,0.670117661,0.14143572
PNC,SCBF,0.586108054,0.262217267
PNC,SCBF,0.668258742,0.177762443
PNC,SCBF,0.69674729,0.204739807
PNC,SCBF,0.759982334,0.098980096
PNC,SCBF,0.637551186,0.327430748
PNC,SCBF,0.681796581,0.109746835
PNC,SCBF,0.66087673,0.108539114
PNC,SCBF,0.698725338,0.223137522
PNC,SCBF,0.716194506,0.156709758
PNC,SCBF,0.664017671,0.14782799
PNC,SCBF,0.650340507,0.057240525
PNC,SCBF,0.707600323,0.123983475
PNC,SCBF,0.635641495,0.054543852
PNC,SCBF,0.659745115,0.279350236
PNC,SCBF,0.642833021,0.163047908
PNC,SCBF,0.647691911,0.19172005
PNC,SCBF,0.748599125,0.070538882
PNC,SCBF,0.646519637,0.133795058
PNC,SCBF,0.690514474,0.179113646
PNC,SCBF,0.658085706,0.079054919
PNC,SCBF,0.765003221,0.116677515
PNC,SCBF,0.702685728,0.13497284
PNC,SCBF,0.708081518,0.118828934
PNC,SCBF,0.705355363,0.05459808
PNC,SCBF,0.683447939,0.215784695
PNC,SCBF,0.600788568,0.118011587
PNC,SCBF,0.650584182,0.156383089
PNC,SCBF,0.660048431,0.07813259
PNC,SCBF,0.689611908,0.115296137
PNC,SCBF,0.738037631,0.136818881
PNC,SCBF,0.730996274,0.260463317
PNC,SCBF,0.725154334,0.100761916
PNC,SCBF,0.651643615,0.146453442
PNC,SCBF,0.603140052,0.175742429
PNC,SCBF,0.747119546,0.138435474
PNC,SCBF,0.726341741,0.328856292
PNC,SCBF,0.643837149,0.193386351
PNC,SCBF,0.55340725,0.294927784
PNC,SCBF,0.702571276,0.086948086
PNC,SCBF,0.644565909,0.054609663
PNC,SCBF,0.736477135,0.081770021
PNC,SCBF,0.752994024,0.066067227
PNC,SCBF,0.652085435,0.164503621
PNC,SCBF,0.613166217,0.286432224
PNC,SCBF,0.755474131,0.08883548
PNC,SCBF,0.645696739,0.091849296
PNC,SCBF,0.645238641,0.132167092
PNC,SCBF,0.772775526,0.17140008
PNC,SCBF,0.582819143,0.475882194
PNC,SCBF,0.709148322,0.188715529
PNC,SCBF,0.655938271,0.2008571
PNC,SCBF,0.649642231,0.072363876
PNC,SCBF,0.664676872,0.090099554
PNC,SCBF,0.634172274,0.130570843
PNC,SCBF,0.733969691,0.162685174
PNC,SCBF,0.725057529,0.078903112
PNC,SCBF,0.570316364,0.122073957
PNC,SCBF,0.687162437,0.181568536
PNC,SCBF,0.666705526,0.236285685
PNC,SCBF,0.688247107,0.115810858
PNC,SCBF,0.499439638,0.236327142
