sub,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
1384,0,0,1.0,1.0,1.0,1.0,0.9839083580247177,0.9683263963396052,0.9794259950736336,0.9843112791590812,0.824185088672358,0.824185088672358,0.824185088672358,0.8237581177676251,0.836653884844269,78.40500901803462,68.88260951297251,1.1382409808860214,0.0,0.0,0.0,0.0,0.0
1719,0,0,0.9999808149796638,0.9999616306954436,0.9999771862135006,1.0,0.9831514834228218,0.966861304702706,0.9784900495124128,0.98690467543676,0.8354429581472675,0.8354429581472675,0.8354429581472675,0.836118279734795,0.8395271022255335,34.03563319597898,27.980511472403645,1.216404969206775,0.0,0.0,0.0,0.0,0.0
1629,0,0,0.9999909648623496,0.9999819298879652,0.999989128984472,1.0,0.9834968701696856,0.9675296035083152,0.9789776870861572,0.9904410120573108,0.8464455393750546,0.8464455393750546,0.8464455393750546,0.8415157239022215,0.8403488308044672,39.11856840688469,35.047058020618024,1.1161726722931042,0.0033767812521104,0.0033767812521104,0.0033767812521104,0.0,0.0
1600,0,0,1.0,1.0,1.0,1.0,0.9825191489361702,0.965638958127708,0.9776795616815884,0.9860437307823712,0.8508062391595205,0.8508062391595205,0.8508062391595205,0.8477468459024456,0.8458452017108876,37.99623293793389,33.30368760186603,1.140901674077826,0.0,0.0,0.0,0.0,0.0
1509,0,0,1.0,1.0,1.0,1.0,0.983069305245963,0.9667023626263302,0.9783786371933724,0.9862747106422206,0.8511612962344861,0.8511612962344861,0.8511612962344861,0.8504251769558638,0.8525377039508216,37.12164241401703,31.8703623419637,1.1647700147148614,0.0032286184741549,0.0032286184741549,0.0032286184741549,0.0,0.0
1169,0,0,1.0,1.0,1.0,1.0,0.9830754259764544,0.966714199939958,0.9783584253378068,0.9830775101763908,0.8382595658007002,0.8382595658007002,0.8382595658007002,0.8404449162777649,0.845395844684404,28.817131302102748,25.132110314285946,1.146626007196941,0.0025490046136983,0.0025490046136983,0.0025490046136983,0.0,0.0
1878,0,0,0.9999786530045895,0.9999573069205482,0.9999750925050462,1.0,0.9829596870867944,0.966490388440168,0.9782515381285468,0.9872247242430852,0.8677539614600119,0.8677539614600119,0.8677539614600119,0.8640211005229709,0.8654274947860786,36.96968038293672,31.141427745426228,1.1871543169168437,0.0,0.0,0.0,0.0,0.0
1663,0,0,1.0,1.0,1.0,1.0,0.983108575564378,0.9667783127485868,0.9784386016250992,0.9871326279790532,0.844176565329653,0.844176565329653,0.844176565329653,0.8444342433441838,0.8483731011069309,27.394716891151106,23.798450879675432,1.1511134497643705,0.0,0.0,0.0,0.0,0.0
1507,0,0,1.0,1.0,1.0,1.0,0.9831244736292196,0.9668090618111168,0.9784101815968196,0.987466078697422,0.8912130897218771,0.8912130897218771,0.8912130897218771,0.88812298495029,0.8953597594005838,51.82664787291266,37.14197911565349,1.395365812670718,0.0,0.0,0.0,0.0,0.0
1765,0,0,0.999978595615526,0.9999571921473276,0.999973953959336,1.0,0.983973312874334,0.9684522319566125,0.9795047489096088,0.9843029172320216,0.8686612168556884,0.8686612168556884,0.8686612168556884,0.8692946354420312,0.8740029181744413,35.51539530158635,30.768477914719373,1.1542785899264811,0.0165617754223252,0.0165617754223252,0.0165617754223252,0.0,0.0
1729,0,0,0.9998473906258462,0.999694827823827,0.9998194181595232,1.0,0.9826981307406868,0.965984788228276,0.9778681459935776,0.988725407055631,0.8765944239647371,0.8765944239647371,0.8765944239647371,0.8774783192836391,0.8841344901343456,56.13254842971139,39.11933871163895,1.434905350611425,0.0054134524292867,0.0054134524292867,0.0054134524292867,0.0,0.0
