sub,ses,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
A00066582,BAS1,67.66088,20.74333,69.941632,27.459891,72.501673,41.161198,90.509225,51.372838
A00066860,TRT,104.168004,60.736238,102.08895,61.430564,116.857923,83.082715,145.332707,118.232577
A00066860,FLU2,103.852199,61.718522,95.919637,54.680128,115.24112,81.313139,142.591543,113.260004
A00083744,TRT,51.336533,30.773634,58.93034,40.434158,81.978849,68.910964,93.089549,98.599969
A00083744,BAS1,93.308136,63.820248,92.54613,58.045979,113.266235,87.141032,135.838336,130.954513
A00081780,BAS1,60.283755,38.199553,62.144289,39.227626,66.113531,46.412422,77.054942,67.646848
A00081780,FLU1,48.611057,29.777434,48.347356,29.808241,52.629266,36.98936,60.749268,52.96383
A00077758,BAS1,44.420561,23.83009,42.666146,23.480849,48.54994,32.647478,56.57797,45.44949
A00079292,BAS1,60.043785,39.1603,59.598584,38.762627,63.712851,46.322812,74.674563,68.9875
A00079292,FLU1,49.504897,25.493111,51.202323,27.118576,51.244762,33.272013,61.516027,46.310655
A00074439,BAS1,52.91553,33.393724,53.914027,33.951937,59.380387,41.194612,70.335795,57.653187
A00074439,FLU2,49.481216,32.222194,49.420498,32.403317,55.572987,40.066162,65.711226,56.092232
A00074439,FLU1,46.612925,33.903881,46.423452,33.889868,54.150705,41.457355,63.522513,59.447944
A00060630,BAS1,52.555664,30.589316,52.172396,30.691539,57.356783,38.200095,67.537621,55.653272
A00075269,BAS1,61.566488,35.962266,59.473926,35.794113,65.190986,44.653461,77.460626,65.040767
A00075267,BAS1,39.027078,20.271631,38.823876,19.986846,42.003326,28.776627,50.474933,41.29861
A00043466,BAS1,70.230868,33.210806,74.480592,35.027514,74.273539,43.755667,89.226225,60.816616
A00050679,BAS1,33.641595,33.394418,33.722827,33.288696,42.304486,39.255633,47.447484,61.919279
A00081938,BAS1,53.276486,20.364237,53.526145,21.168211,58.044237,33.338838,72.593188,44.486891
A00083162,BAS1,58.226569,34.010822,57.118499,33.667641,63.111496,43.115707,74.460108,62.326545
A00083162,FLU1,50.05943,28.785469,49.700653,28.683046,54.920573,36.492111,64.324282,53.127755
A00061298,TRT,63.889895,39.127969,63.165972,39.239871,68.569076,46.155593,81.072567,67.929327
A00061298,BAS1,73.141538,44.589207,72.619815,44.586056,78.01625,52.800488,92.900958,77.410078
A00061298,FLU2,56.631091,31.013743,55.732341,31.382596,63.465216,40.263759,75.992153,58.111536
A00062942,BAS1,52.967077,37.654869,52.003481,37.095173,57.331011,44.614536,65.485978,66.672998
