KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3,FilePath
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074641/ses-FLU1/anat/sub-A00074641_ses-FLU1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074641/ses-BAS1/anat/sub-A00074641_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074639/ses-BAS1/anat/sub-A00074639_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074618/ses-BAS1/anat/sub-A00074618_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074609/ses-BAS1/anat/sub-A00074609_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074607/ses-TRT/anat/sub-A00074607_ses-TRT_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074607/ses-FLU2/anat/sub-A00074607_ses-FLU2_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074607/ses-FLU1/anat/sub-A00074607_ses-FLU1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074607/ses-BAS1/anat/sub-A00074607_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074482/ses-BAS1/anat/sub-A00074482_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074439/ses-FLU1/anat/sub-A00074439_ses-FLU1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074439/ses-BAS1/anat/sub-A00074439_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074427/ses-TRT/anat/sub-A00074427_ses-TRT_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074427/ses-FLU2/anat/sub-A00074427_ses-FLU2_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074427/ses-FLU1/anat/sub-A00074427_ses-FLU1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074427/ses-BAS1/anat/sub-A00074427_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00074425/ses-BAS1/anat/sub-A00074425_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00073611/ses-BAS1/anat/sub-A00073611_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00073600/ses-BAS1/anat/sub-A00073600_ses-BAS1_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977,/cbica/projects/aslprep/NKIdata/curation/BIDS/sub-A00073539/ses-FLU2/anat/sub-A00073539_ses-FLU2_T1w.nii.gz
