sub,ses,task,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
A00058229,TRT,rest,1.1524026124375,0.02500619486256831,0.9956407336134784,0.9913193086728708,0.9941341096785336,1.0,0.9483927756406076,0.9018507610751156,0.9365139829780904,0.9815770827006782,3.3370972937700143e-09,0.12678448973427586,0.2801919003542899,0.5028882608990126,0.4825966909372613,4.873821581738086,9.372728452745477,0.5200002972784769,39.626417611741154,20.791638870358017,15.432510562597287,0.0,0.0
A00058318,BAS1,rest,0.10656178870000002,0.0010967157083325604,0.9898230859190326,0.9798512241982364,0.9872894271601248,1.0,0.9672052471604544,0.9364931846344484,0.9590738459257704,0.9809202414173536,0.2709337336087241,0.2896347932373384,0.41619375462141134,0.4728494069133994,0.5169452919499579,30.89703718160641,39.38882064624933,0.7844113297804078,14.739139059710373,14.639952390398731,9.36322158301924,0.0,0.0
A00058436,BAS1,rest,0.4336066368875,0.0036399083063329424,0.9932686463000068,0.9866273089136366,0.9913415816283384,1.0,0.9726496811244724,0.9467556132060904,0.9657003770045596,0.9786738179612424,0.14951808126082392,0.20411772858865135,0.3225006822440976,0.5938756177030071,0.5674331066999306,31.945751551335782,41.5235655443693,0.7693402802127071,21.547738693467334,20.12060301507538,16.984924623115578,0.0,0.0
A00058503,BAS1,rest,0.117543708625,0.003581243626922065,0.9935618293572248,0.9872060284862536,0.991518682532566,1.0,0.9740528418692062,0.949418139277138,0.96739528777949,0.9750229220019604,0.3092465214256494,0.31392337988828833,0.4540034144861148,0.5643950439744617,0.43526893584456977,38.69704342522801,54.67495946276666,0.7077653793521416,16.31929046563193,15.875831485587582,9.933481152993348,0.0,0.0
A00058503,FLU1,rest,0.17771504300250002,0.001335036916562151,0.9869054659119708,0.9741494329553037,0.9828987825694916,1.0,0.970119553624019,0.9419729804927814,0.9625995388118284,0.9795537838359158,0.34223281971470026,0.3760514240416785,0.4700479281668142,0.5153032067406148,0.4866517000239029,35.92972884886715,48.298073565879385,0.7439163965796358,14.145470771976795,11.780455153949127,8.076751450245428,0.0,0.0
A00058515,BAS1,rest,0.4244900607275001,0.004153185747100595,0.9918950915217192,0.9839205058717254,0.989617570226378,1.0,0.9750479238288366,0.9513107456411524,0.9686837420063632,0.9791275573514908,0.1497910194466439,0.13444496064990075,0.36303493661301417,0.5802861261596927,0.4725767057883402,50.870102419340895,67.97744776240603,0.7483379281484864,23.760330578512395,23.24380165289256,15.185950413223141,0.0,0.0
A00058516,BAS1,rest,0.38696592612499997,0.006966855482003873,0.9951668291855684,0.9903801527361714,0.9936612086189599,1.0,0.9755071042055632,0.9521853281853282,0.9692461594692888,0.9789146105236416,0.3966199673182117,0.4259920481195893,0.5493988067302502,0.6736379548202541,0.5796282153360366,64.27544005367629,75.58436283579488,0.8503801268168796,13.293502613890965,11.57580283793876,8.140403286034353,0.0,0.0
A00058516,TRT,rest,1.2536292071,0.014603125283512363,0.993582276068032,0.9872464012122232,0.9915895720613384,1.0,0.9747052111068848,0.9506585049156,0.9682638412246872,0.9797674048112156,0.3195525954518774,0.29994979203542715,0.40329483690555945,0.6575194769692194,0.5891822586573767,82.14006535654363,85.49256578213006,0.9607860590576964,15.409956076134698,17.20351390922401,15.812591508052707,0.0,0.0
A00058537,BAS1,rest,0.05815410340987499,0.0002678472965110208,0.9806491403901009,0.9620329753441236,0.974051862733352,1.0,0.9573615866658052,0.9182105458826444,0.9471687279295644,0.981228273464658,0.44719228268674616,0.4484450605352553,0.5425689639120166,0.5443824169689475,0.4498853543869855,46.48920533925635,51.65974723970568,0.8999115911957996,9.584320482446692,9.325866896403188,5.7075166917940985,0.0,0.0
A00058552,BAS1,rest,0.07338599288875,0.0010026189145033702,0.9937090432503276,0.9874967439437352,0.9918330305469424,1.0,0.97402269064248,0.9493608501463114,0.9673631155255726,0.9755333291131228,0.4525726160348824,0.452096549561247,0.5555901542408058,0.6101678043089466,0.4334012851487632,58.34383739408899,68.6001026074254,0.8504919843629177,8.287795992714026,8.378870673952642,5.4189435336976315,0.0,0.0
