subject,session,AcqGroup
sub-A00066162,BAS1,1
sub-A00066154,FLU1,1
sub-A00066154,BAS1,1
sub-A00066153,BAS1,1
sub-A00066132,FLU1,1
sub-A00066132,BAS1,1
sub-A00066130,BAS1,1
sub-A00066087,BAS1,1
sub-A00065991,FLU2,1
sub-A00066013,FLU2,1
sub-A00008326,FLU1,1
sub-A00066013,BAS1,1
sub-A00065995,FLU2,1
sub-A00065995,FLU1,1
sub-A00065995,BAS1,1
sub-A00065992,TRT,1
sub-A00065992,FLU1,1
sub-A00075738,TRT,1
sub-A00075741,FLU1,1
sub-A00063003,BAS1,1
sub-A00081846,FLU1,1
sub-A00081794,FLU1,1
sub-A00081794,BAS1,1
sub-A00081785,FLU1,1
sub-A00081785,BAS1,1
sub-A00081780,FLU1,1
sub-A00081780,BAS1,1
sub-A00081777,BAS1,1
sub-A00081735,BAS1,1
sub-A00081734,FLU1,1
sub-A00081729,FLU1,1
sub-A00081729,BAS1,1
sub-A00081727,TRT,1
sub-A00081727,BAS1,1
sub-A00081725,FLU1,1
sub-A00081725,BAS1,1
sub-A00081724,BAS1,1
sub-A00081846,BAS1,1
sub-A00081854,BAS1,1
sub-A00082580,BAS1,1
sub-A00081854,FLU1,1
sub-A00082556,BAS1,1
sub-A00082554,BAS1,1
sub-A00082532,BAS1,1
sub-A00082529,BAS1,1
sub-A00082528,BAS1,1
sub-A00082524,FLU1,1
sub-A00082524,BAS1,1
sub-A00082442,BAS1,1
sub-A00082217,TRT,1
sub-A00082217,FLU1,1
sub-A00082217,BAS1,1
sub-A00082216,FLU1,1
sub-A00082216,BAS1,1
sub-A00082215,FLU1,1
sub-A00082215,BAS1,1
sub-A00081963,BAS1,1
sub-A00081962,BAS1,1
sub-A00081901,BAS1,1
sub-A00081719,FLU1,1
sub-A00081719,BAS1,1
sub-A00081616,FLU1,1
sub-A00081616,BAS1,1
sub-A00081185,FLU1,1
sub-A00081185,BAS1,1
sub-A00081175,FLU1,1
sub-A00081175,BAS1,1
sub-A00081149,FLU1,1
sub-A00081149,BAS1,1
sub-A00081142,FLU1,1
sub-A00081142,BAS1,1
sub-A00081132,BAS1,1
sub-A00081126,TRT,1
sub-A00081126,FLU1,1
sub-A00081126,BAS1,1
sub-A00081123,BAS1,1
sub-A00081114,FLU1,1
sub-A00081114,BAS1,1
sub-A00081112,BAS1,1
sub-A00081105,FLU1,1
sub-A00081105,BAS1,1
sub-A00081243,BAS1,1
sub-A00081243,FLU1,1
sub-A00081253,BAS1,1
sub-A00081517,BAS1,1
sub-A00081552,FLU1,1
sub-A00081552,BAS1,1
sub-A00081544,BAS1,1
sub-A00081543,BAS1,1
sub-A00081519,BAS1,1
sub-A00081518,TRT,1
sub-A00081518,BAS1,1
sub-A00081517,FLU1,1
sub-A00081479,FLU1,1
sub-A00081253,FLU1,1
sub-A00081479,BAS1,1
sub-A00081476,TRT,1
sub-A00081476,FLU1,1
sub-A00081402,FLU1,1
sub-A00081402,BAS1,1
sub-A00081394,BAS1,1
sub-A00081385,TRT,1
sub-A00081385,FLU1,1
sub-A00082563,BAS1,1
sub-A00082580,FLU1,1
sub-A00081098,FLU1,1
sub-A00084921,BAS1,1
sub-A00084119,BAS1,1
sub-A00083983,BAS1,1
sub-A00083982,BAS1,1
sub-A00083967,BAS1,1
sub-A00083963,BAS1,1
sub-A00083952,BAS1,1
sub-A00083951,BAS1,1
sub-A00083950,BAS1,1
sub-A00083949,BAS1,1
sub-A00083923,BAS1,1
sub-A00083847,BAS1,1
sub-A00083745,TRT,1
sub-A00083745,BAS1,1
sub-A00083744,TRT,1
sub-A00083732,BAS1,1
sub-A00083731,BAS1,1
sub-A00083687,BAS1,1
sub-A00083631,BAS1,1
sub-A00083574,BAS1,1
sub-A00084901,BAS1,1
sub-A00084956,BAS1,1
sub-A00082590,BAS1,1
sub-A00085001,BAS1,1
sub-A00086748,BAS1,1
sub-A00085797,BAS1,1
sub-A00085796,BAS1,1
sub-A00085795,TRT,1
sub-A00085795,BAS1,1
sub-A00085743,BAS1,1
sub-A00085680,BAS1,1
sub-A00085665,BAS1,1
sub-A00085406,BAS1,1
sub-A00085391,BAS1,1
