sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
A00040815,FLU1,0.57674103951875,0.0019454010430545,0.9936073752300018,0.9872959626041392,0.9913032705314848,1.0,0.9755258508333458,0.9522210507965232,0.968736193128056,0.9783277112749634,0.1895519385904683,0.4528761409740898,0.6355159939658014,0.7493649100000171,0.760208335272908,49.19178391871542,24.377184703964804,2.017943602433905,12.035225048923678,6.621004566210045,2.495107632093933,0.0,0.0
A00056420,FLU2,0.4660111609774999,0.0045175215412454,0.9919776911107968,0.9840830727287306,0.9893363178868188,1.0,0.9729646487115432,0.947352637366299,0.9655766242665724,0.9816656308266004,0.288350576150133,0.3718873530475811,0.6610864095677309,0.7625551384456626,0.7420288913112804,65.37442421407336,41.20231531860419,1.5866687031676268,5.118434603501544,3.553038105046344,1.462409886714727,0.0,0.0
A00056420,FLU1,0.2559250161849999,0.000700374002163,0.993900481540931,0.9878749202297384,0.9918623977535128,1.0,0.975878319475321,0.9528929403929404,0.9692242408526572,0.9811420220038316,0.5273892846753766,0.5746836322737778,0.696823813957858,0.7797342742848261,0.7310793371465399,69.12410349254766,40.48893798868174,1.7072342947565229,4.287190082644629,3.760330578512397,1.415289256198347,0.0,0.0
A00074447,TRT,0.8227908617587498,0.0127978973924618,0.9930236665489226,0.9861439971937208,0.9909761120913464,1.0,0.975902207176882,0.9529384928041144,0.9692030336849908,0.9775776167601996,0.2544255316469971,0.521717277904489,0.7468915631547847,0.7752446181849506,0.8152347715948192,53.54214608507338,41.20687736974597,1.2993497567079408,11.822162344223644,4.749073762209498,1.0890310991355114,0.0,0.0
A00074447,FLU2,0.1924119617375,0.0041970146353992,0.9950628168393212,0.9901741457209282,0.9936022199013176,1.0,0.9770990101108592,0.955223447595602,0.9707148284557324,0.977285447761194,0.4889770854153277,0.4965789188811426,0.7525791382592458,0.8158791658281842,0.8173434903264454,73.39304766840252,45.098679778320765,1.6273879419344564,2.434122376060741,2.344796784278696,0.6587762393925859,0.0,0.0
A00062268,BAS1,0.0880837160174999,0.0016295191608049,0.9923971787121004,0.984909090909091,0.9902738508148108,1.0,0.9763816962390696,0.9538532992734632,0.969809374770398,0.9774604793472718,0.5898100172980492,0.5949084737846599,0.7219617839397346,0.7238713657570921,0.7239144517969583,76.96754752896904,57.61908552619587,1.3357995328470913,2.7412834765032845,2.728650833754421,0.7200606366851946,0.0,0.0
A00061883,TRT,0.115288041675,0.0005115413526798,0.994849673688712,0.9897521272660008,0.9929352627614894,1.0,0.9761174002406792,0.9533489488639908,0.9695175105315864,0.980660347078082,0.483322766968309,0.4847852929185684,0.6126146380498837,0.7434155622758174,0.735696245004873,45.64952759335173,26.496640653992536,1.7228420836236544,4.830251173060999,4.839451651485877,2.5025301315668416,0.0,0.0
A00061883,BAS1,0.1135141088749999,0.0005947716946199,0.9953097081596188,0.9906632085957762,0.9935667367508944,1.0,0.9762114725115556,0.9535284351216508,0.9696388340766806,0.9808286607028208,0.5552363860790664,0.5538877921727847,0.6626323729913527,0.7465626681691592,0.7361389374346844,52.135887636568576,32.30492772351127,1.6138679548453063,4.181378925850214,4.413677755064114,2.3322802453075635,0.0,0.0
A00061883,FLU2,0.1187030713374999,0.0012487685277652,0.9963857431468128,0.9927975179138656,0.995031177987068,1.0,0.9782694150569348,0.9574631800920862,0.9722342520404448,0.9804631431893588,0.503309704387382,0.5134059441117361,0.6487261623181849,0.7496020360115895,0.7326000571621321,47.5191794865401,30.884389884035357,1.5386148039499898,5.216517449296547,5.143431390462269,2.439247213594007,0.0,0.0
A00061883,FLU1,0.1087756959999999,0.000693155192858,0.9918273456640048,0.9837871929954738,0.9888369099799318,1.0,0.9736967057786828,0.948741674377506,0.9665099623317076,0.982382847228816,0.3352854370919397,0.3540682733547693,0.6551210334997197,0.7407190141402548,0.739766004153098,46.43255154120973,31.98992597039649,1.4514741792206227,4.960044089280793,6.025535041792964,2.452466244144392,0.0,0.0
A00054038,BAS1,0.27449925207,0.0014516431932411,0.9984259924991742,0.9968569322106244,0.9978702074375558,1.0,0.978070278028813,0.9570817415332884,0.971988734237299,0.98100113037729,0.3420138354253415,0.3415334122899394,0.4749835290698806,0.7082402417272338,0.7071587325112619,36.57777915341336,29.26592323264252,1.249841970220689,11.477331943720689,12.298071912454404,9.054194893173529,0.0,0.0
A00075220,BAS1,0.1119190713749999,0.0017660439690317,0.9942637105257934,0.9885928557331756,0.9923169326567672,1.0,0.9752152694381276,0.9516293913780636,0.9683606943428812,0.979461429231322,0.4343734183949324,0.4447299523440716,0.557415593818442,0.7235794906908187,0.7191865642812647,34.763576622799064,27.28102572151229,1.2742767437584452,8.123090847380926,7.885507410340536,4.774295734811631,0.0,0.0
A00075220,FLU2,0.1660817471249999,0.0017420850294258,0.9971939389080414,0.994403581707707,0.9962467678145944,1.0,0.9717541188345794,0.94506006455692,0.9640287356169204,0.9802906354630492,0.3895255525258961,0.4079860604648189,0.5144632707569496,0.7432452415296819,0.7496091803332441,31.50399792689589,23.180009170646,1.359102047586373,10.24514338575393,9.158186864014802,6.267345050878816,0.0,0.0
A00075220,FLU1,0.2220488897424999,0.0013478342104076,0.9968536443616104,0.9937270257311812,0.9957923649140766,1.0,0.971580668954238,0.944732017013209,0.9638005314390504,0.9798236346779932,0.3866337020165555,0.413784416341918,0.5687575033547775,0.7026424797529002,0.7136168477846767,36.53357875101061,27.717270345748148,1.3180799658583584,12.45539311615057,11.937377690802348,7.655116841257051,0.0,0.0
A00044130,BAS1,0.0946329395179999,0.0002692525042302,0.9935614301096536,0.9872052401746724,0.9916572340178372,1.0,0.9739110393116356,0.9491487352697716,0.9667353610797632,0.980378003772304,0.6876589339576196,0.6856959415186609,0.7609991778875342,0.7667431782308151,0.7607260835149494,57.01378691255948,43.40168054971491,1.313630859230265,2.041042706600111,1.9079312257348864,0.5879090404880754,0.0,0.0
A00081175,BAS1,0.0698106157312499,0.0007784107329903,0.994740796393689,0.9895366218236172,0.993308838711874,1.0,0.977260034532006,0.9555312860828932,0.9709896274145432,0.9826010544815466,0.6256460379921917,0.6262818733141794,0.733256079856957,0.7390024645680988,0.7387133072688229,54.92661223900102,38.60448148898491,1.4228040403721869,3.708644610458912,3.708644610458912,1.2139807897545358,0.0,0.0
