sub,SCBF,BASIL,SCRUB,PVCGM,PVCWM
43.0,0.06094986822608831,0.07816814913367129,0.10586837078810993,0.10575808226274765,0.02967371362831761
53.0,-0.05176288361546051,-0.05785832708814483,-0.033011062111252966,-0.06059033630416207,-0.05139245930359908
63.0,0.1628980055039572,0.16256638960995215,0.18474310310842093,0.15442388781798394,0.15083799358759747
4.0,0.2159163103025675,0.23136100326099818,0.2331496103083661,0.19276953308536723,0.3008862828621769
14.0,0.16028134662797353,0.1652771970477756,0.1635203080931259,0.15847461235790747,0.1964213265908605
24.0,0.2420006586375106,0.24189490023267468,0.24626498158938323,0.23522628683599725,0.2962667093677832
34.0,-0.09280927865284391,-0.07916319840691419,-0.07666693006502141,-0.05102817884922073,-0.16964094930284127
44.0,0.1959181057530919,0.1936347363173379,0.24917874234424467,0.11642830077378045,0.25785844844736133
54.0,0.2548010637336361,0.2376722821407022,0.2836918256100267,0.2096469198971036,0.24571768623774204
5.0,0.1835719223233081,0.18040448842659979,0.18461517734754415,0.12480881327464956,0.19428262056450532
15.0,0.13852374073167253,0.13439061747711123,0.14397177027869193,0.12154697534743626,0.21261812586226517
25.0,0.26686521774673555,0.25256165021829136,0.27868521458160256,0.20901261209008115,0.33794927030009614
35.0,0.1105300314076493,0.08552183952919358,0.10467113059301014,0.08440898095153299,0.07844165006611482
45.0,0.14514929518234643,0.1673681288463039,0.13832361839721988,0.14700226720548235,0.15187357379494115
55.0,-0.026254965126149322,-0.022341563271152918,0.007910532797023875,0.0018496694186772875,-0.0934623127772465
6.0,0.22407502644079233,0.2283354695246967,0.22116562274310061,0.19267745524216048,0.28239456057428836
16.0,0.24459805735042292,0.23444812828555076,0.24296396831802958,0.20129284363089328,0.2941943731091729
26.0,0.27118597224705654,0.25861417588483515,0.2766100021665923,0.2291134743825567,0.24718492253238453
36.0,0.17332658165667503,0.17837354191000407,0.16998160082078523,0.19422524595791524,0.09130924589604267
46.0,-0.04628111986491586,-0.03456880384801985,-0.05757527280198429,-0.07149445806606168,-0.07749537247326789
56.0,0.18337036364039744,0.19162632869675517,0.17972929265180024,0.19936061032554894,0.10763262131806499
7.0,0.21538917398355548,0.2111186489320124,0.21712416183301567,0.19725221597668413,0.27350281447014785
17.0,0.11423135226468195,0.11771044729318172,0.12623995960905648,0.10556396059833913,0.18040122236085518
27.0,0.20936897028513815,0.2177636781191765,0.21936828078770107,0.198348703372726,0.2889833273073835
37.0,0.26278735550388316,0.24746861338635495,0.29083193555077386,0.2277702682333451,0.20675129232741116
47.0,0.1129289508093831,0.10425641857448018,0.10639951015872182,0.04407393181444079,0.12248882352179907
57.0,0.2879947594231757,0.2992879370930788,0.2783684082156785,0.24992306176276843,0.2761622117976655
