Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,IntendedForKey08,IntendedForKey09,IntendedForKey10,IntendedForKey11,IntendedForKey12,IntendedForKey13,IntendedForKey14,IntendedForKey15,IntendedForKey16,IntendedForKey17,IntendedForKey18,IntendedForKey19,IntendedForKey20,IntendedForKey21,IntendedForKey22,IntendedForKey23,IntendedForKey24,IntendedForKey25,IntendedForKey26,IntendedForKey27,IntendedForKey28,IntendedForKey29,IntendedForKey30,IntendedForKey31,IntendedForKey32,IntendedForKey33,IntendedForKey34,IntendedForKey35,IntendedForKey36,IntendedForKey37,IntendedForKey38,IntendedForKey39,IntendedForKey40,IntendedForKey41,IntendedForKey42,IntendedForKey43,IntendedForKey44,IntendedForKey45,IntendedForKey46,IntendedForKey47,IntendedForKey48,IntendedForKey49,IntendedForKey50,IntendedForKey51,IntendedForKey52,IntendedForKey53,MultibandAccelerationFactor,NSliceTimes,NumberOfVolumesDiscardedByScanner,NumberOfVolumesDiscardedByUser,ParallelAcquisitionTechnique,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,SliceEncodingDirection,TotalReadoutTime,VolumeTiming
dominant group,,,,acquisition-gre_suffix-m0scan_task-rest__3,acquisition-gre_suffix-m0scan_task-rest,3,162,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,20,,0.0327753,
dwell time,,3,,acquisition-gre_suffix-m0scan_task-rest__4,acquisition-gre_suffix-m0scan_task-rest,4,2,2.70E-06,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,20,,0.0327753,
Dominant Group,,,,acquisition-refaced_datatype-anat_suffix-T1w__1,acquisition-refaced_datatype-anat_suffix-T1w,1,1599,,0.00351,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,1,,1.81,,,
No ParallelReductionFactorInPlane,,1,,acquisition-refaced_datatype-anat_suffix-T1w__2,acquisition-refaced_datatype-anat_suffix-T1w,2,1,,0.00351,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,1.81,,,
Different Echo Time,,,acquisition-refacedVariantTe_datatype-anat_suffix-T1w,acquisition-refaced_datatype-anat_suffix-T1w__3,acquisition-refaced_datatype-anat_suffix-T1w,3,1,,0.004,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,1,,1.85,,,
Dominant Group,,,,acquisition-se_suffix-asl_task-rest__1,acquisition-se_suffix-asl_task-rest,1,1451,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__2,acquisition-se_suffix-asl_task-rest,2,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.2,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__3,acquisition-se_suffix-asl_task-rest,3,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,5.36,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__4,acquisition-se_suffix-asl_task-rest,4,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.43,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__5,acquisition-se_suffix-asl_task-rest,5,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.18,,0.0327753,
