scanid,oldpnc
4931,4.771266679358286
3610,7.096149305098923
3015,7.224723228033318
3040,5.268131762878627
6818,4.915794022290349
3116,7.7702960722959755
3564,7.551379836809866
6747,4.830578616242419
6671,6.274901966940672
2811,
3081,5.595930564493794
3113,7.339762320345227
2831,7.5708614568715875
2954,4.414138300988179
8415,7.116236773261284
5674,3.032890788263004
3495,4.514938239110106
4463,5.007778268732409
3524,7.700979306432291
6573,6.667637789375114
5842,7.242403862128666
2859,7.861537896577156
6733,6.4531584814919265
8315,7.132614001641453
8270,4.943991234844791
2865,5.993153303426191
6282,7.072283944905996
3039,5.193211452577022
2923,7.63381239981854
2951,6.193003466787886
6631,7.133246021038199
3611,6.114064656970848
2922,7.5924161550930425
6604,7.188302625271194
4623,2.614129895782222
2896,6.793306677846807
4942,6.641202870266399
3526,3.85389800280116
8350,3.355552512153414
5809,7.225062266472291
3044,8.108891953502194
2964,6.937473845807382
3124,7.640870502660203
6441,4.206725280285307
6795,7.669587748122202
8398,2.632719546758493
5837,3.911138970819792
3083,7.083066019419959
3178,6.441831169707031
8209,5.871521308718429
3513,4.102639150232206
2826,
2832,6.799033250736978
6616,6.874698322148182
3728,7.468600405851152
2993,7.841677385573542
8223,6.366805630251363
6867,7.202611710307867
3146,3.251665831417682
3316,6.3071291549426896
3224,6.789214574256585
3088,2.8280632298391657
3281,6.925267891126136
3034,4.327223705272263
3226,4.736672207015424
3667,5.704666837552753
6816,7.399059044379144
3594,7.328205430113708
6672,3.893502622049097
3048,5.277079529389295
2909,6.753085706044949
6643,5.058166510607812
6673,5.246225752574303
3308,6.924931680975897
6528,5.8080489965337625
3189,0.0
3018,7.252586352210703
3234,7.049762557494767
10039,
2968,6.061102007557612
3214,3.340225107249984
3407,5.745622427633327
5624,7.7288103069371585
6467,5.810005744908896
6291,7.041753694007178
3290,5.758498050858573
3183,3.654293709326797
3534,7.219291896282789
6334,5.858150126094499
3153,7.943248317052431
5423,5.603282937043715
6571,7.002779706023248
3579,5.716035961027593
3323,6.679849814472141
3320,7.116915390572824
