scanid,cbf,scrub,basil,pvc
6629,5.646007802500461,5.750094504842507,8.621561006007424,10.801700768849992
4411,5.877678329586778,6.136681049443082,8.298383422088483,10.879592241883362
5712,6.632265465362887,6.813457524122917,9.330770519506961,13.059318770024651
3043,5.5350254837721184,5.736358541277396,8.886078117595515,13.569129733221244
3370,5.784108856408162,5.959837940724961,8.836519591248662,11.588661038886588
6552,5.383400073051589,5.498130362620657,8.601805233050737,12.232818191304696
3309,5.569767022925737,5.747005590310401,8.824074740631485,11.89724756521465
6619,5.569273344606698,5.767016442305167,8.587055993952648,10.476471339610182
2706,6.136679005185297,6.66913289488193,9.282707256471317,10.572330148241878
3325,5.949126008473139,6.2780430409033325,8.969571137427348,11.181930568864493
3297,5.668139789146503,5.825667514195203,8.30596015718533,10.75984225061148
4481,6.251237393162125,6.437415658435168,8.312510332016291,11.545517442867574
6815,5.45157866164712,5.848291357052797,8.395937437654046,12.179199883901708
2952,5.5033879118125295,5.717150844704665,8.295938054146596,10.320799459306999
2906,6.149799447363892,6.2647146675376515,8.346845515529994,11.12680610848961
6565,5.769791731200915,5.915134392380487,8.782294893544579,11.80559059045541
6675,5.681057825343935,5.756981473199552,8.290130445228417,10.591518754272988
2728,5.348093276254161,5.5131758676467895,8.470951607391198,10.906265173488299
4335,5.532537712616486,5.6763410331615916,8.381511859857126,10.249299041366443
3677,6.076243722018944,6.509959256498612,8.989667617558128,11.52537485477174
3036,5.631297203037601,5.760711749926347,8.952577719102006,12.599328918067009
3404,5.943704905192366,6.024626429637913,9.140927396939565,11.819109273465498
3033,6.122918187405747,6.126332146497322,8.331620110308076,11.818379523695926
3020,5.7852479534515675,5.884574738638391,8.470432822248585,10.87048577212383
8220,5.707239680804665,5.703592915639622,8.722311200478071,12.594799368654916
3433,5.5378625994720085,5.805973331975488,8.86348159510283,11.823836055659589
4654,5.066972165090075,5.021154568090397,8.32818072057396,11.642994044518934
3488,5.717816485391151,6.110365645380301,8.244113634160255,9.928738835915391
3211,6.195756442878507,6.508811391625588,8.965088634011158,11.744430832222129
3038,5.512251337728651,5.538657970867161,8.013035688237732,11.592118783306766
2971,5.4420656254951485,5.288004005482193,8.273215229047226,11.156807061101553
2905,5.643572663840479,5.61000350191769,8.450222558503027,11.084441252815544
3125,5.723983647384892,6.065683546105313,8.385645450296975,11.826513491511488
9934,,,,
3201,6.254227950113225,6.504316983515105,9.576060156011241,12.351259204218172
4887,,,,
3340,4.808951458498097,5.553352686228133,9.301683365459422,12.208476867889164
2902,4.874637214556069,4.626840274437078,4.447674770902593,6.305625686007495
6532,6.085500962017655,6.403534399264627,8.68242259741954,11.842371133620233
2967,5.776193981775298,6.365094040498507,8.414689663536999,10.029640337171351
4498,5.505852858192404,5.818404181753077,8.5352512910566,11.5559899549785
5797,4.761233573921163,4.805205797840244,8.463006725832253,11.109262075013685
2911,6.072720358684038,6.240295897530817,8.061064666610012,10.703251038638907
6603,6.341904608831043,6.545212305114309,9.769412582547249,12.9365978720161
2792,6.138240551644736,6.352871956697041,8.629202979230643,13.415503981341518
2795,6.3204912147271815,6.610368545898443,8.643330109696697,11.048313792741299
2899,5.788296601525231,6.068695333600016,7.193897678851511,8.121598327649684
6764,5.350052313310392,5.507826529978725,8.004931041935732,9.439528322214157
3138,5.693900860439781,5.945258933220918,8.276049420571578,10.657653936208945
6582,5.555557893111437,5.453427156104226,8.850929963534153,11.455202212947064
7288,5.073881432472299,5.0804817022731426,8.838564717794931,12.968948619849977
2854,5.819107140471298,5.850897779089903,8.214421773879096,11.9270128519139
3045,5.92262641213124,6.099800467886551,8.626486639689112,12.383799262143087
