sub-10R01064,ses-20150819
sub-10R01767,ses-20170726
sub-02101807,ses-20180906
sub-03501234,ses-20170112
sub-03501846,ses-20180509
sub-10R01065,ses-20150818
sub-10R01768,ses-20170727
sub-02101810,ses-20170627
sub-03501236,ses-20180130
sub-03501859,ses-20170829
sub-10R01077,ses-20150811
sub-10R01777,ses-20170802
sub-02101831,ses-20180719
sub-03501262,ses-20170822
sub-03501860,ses-20170828
sub-10R01078,ses-20150902
sub-10R01778,ses-20170727
sub-02101848,ses-20170811
sub-03501277,ses-20170509
sub-03501863,ses-20170828
sub-10R01090,ses-20150819
sub-10R01090,ses-20160825
sub-10R01790,ses-20170824
sub-02101849,ses-20170810
sub-03501360,ses-20170707
sub-03501881,ses-20170905
sub-10R01112,ses-20151015
sub-10R01797,ses-20170809
sub-02101887,ses-20180402
sub-03501362,ses-20160426
sub-03501362,ses-20170501
sub-03501892,ses-20170926
sub-10R01113,ses-20151021
sub-10R01798,ses-20170809
sub-02101903,ses-20180918
sub-03501375,ses-20160513
sub-03501893,ses-20170920
sub-10R01144,ses-20151209
sub-10R01841,ses-20170907
sub-02101910,ses-20181107
sub-03501376,ses-20160510
sub-03501912,ses-20171002
sub-10R01149,ses-20151209
sub-10R01842,ses-20170907
sub-02101945,ses-20180301
sub-03501377,ses-20160511
sub-03501916,ses-20171009
sub-10R01150,ses-20151217
sub-10R01870,ses-20170921
sub-02102009,ses-20181211
sub-03501392,ses-20170817
sub-03501917,ses-20171009
sub-10R01151,ses-20151218
sub-10R01871,ses-20170920
sub-02102010,ses-20180212
sub-03501402,ses-20160524
sub-03501918,ses-20180130
sub-10R01166,ses-20151209
sub-10R01872,ses-20171114
sub-02102019,ses-20180326
sub-03501403,ses-20160525
sub-03501925,ses-20171031
sub-10R01169,ses-20160121
sub-10R01875,ses-20171005
sub-02102038,ses-20180221
sub-03501406,ses-20160602
sub-03501943,ses-20171218
sub-10R01187,ses-20160120
sub-10R01876,ses-20170920
sub-02102048,ses-20180228
sub-03501409,ses-20160531
sub-03501962,ses-20171213
sub-10R01198,ses-20160208
sub-10R01878,ses-20170906
sub-02102050,ses-20180320
sub-03501425,ses-20160606
sub-03501974,ses-20180205
sub-10R01208,ses-20160115
sub-10R01884,ses-20171012
sub-02102063,ses-20180314
sub-03501452,ses-20160628
sub-03501979,ses-20180406
sub-10R01211,ses-20160113
sub-10R01888,ses-20171003
sub-02102080,ses-20180409
sub-03501461,ses-20160708
sub-03501983,ses-20180221
sub-10R01239,ses-20160217
sub-10R01896,ses-20171108
sub-02102081,ses-20180412
sub-03501462,ses-20160707
sub-03501984,ses-20180118
sub-10R01240,ses-20160222
sub-10R01915,ses-20171129
sub-02102088,ses-20180417
sub-03501475,ses-20160720
sub-03501986,ses-20180227
sub-10R01278,ses-20160302
sub-10R01940,ses-20171130
sub-02102097,ses-20180420
sub-03501477,ses-20160720
sub-03501990,ses-20180122
sub-10R01279,ses-20160304
sub-20201199,ses-20151105
sub-02102103,ses-20190214
sub-03501485,ses-20160727
sub-03501991,ses-20180208
sub-10R01280,ses-20160407
sub-20201258,ses-20160120
sub-02102111,ses-20180516
sub-03501494,ses-20160802
sub-03502003,ses-20180508
sub-10R01281,ses-20160405
sub-20201522,ses-20160820
sub-02102148,ses-20190412
sub-03501496,ses-20160803
sub-03502004,ses-20180315
sub-10R01282,ses-20160407
sub-02102175,ses-20180726
sub-03501503,ses-20181108
sub-03502007,ses-20180122
sub-10R01283,ses-20160406
sub-02102177,ses-20180717
sub-03501513,ses-20170517
sub-03502008,ses-20180116
sub-10R01284,ses-20160405
sub-02102184,ses-20180718
sub-03501514,ses-20160812
sub-03502018,ses-20180222
sub-10R01285,ses-20160408
