std_dvars	dvars	framewise_displacement	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
2.526952	81.023735	0.1322671000000001	0.598154	-0.271548	-0.942435	-0.00151052	-0.00309123	0.000965158
2.844589	91.208374	0.1039041	0.627484	-0.284233	-0.971567	-0.00125238	-0.00299225	0.00126318
3.733407	119.707275	0.16852699999999995	0.610943	-0.253184	-0.9134040000000001	-0.00204254	-0.00329096	0.00109657
2.754633	88.324043	0.12137599999999998	0.645503	-0.250111	-0.976308	-0.00177974	-0.00326534	0.00122493
2.470872	79.22560099999998	0.14418399999999995	0.599695	-0.26852	-0.939929	-0.00135842	-0.00296131	0.00107852
2.763903	88.62129199999998	0.11522150000000005	0.639772	-0.269495	-0.968874	-0.001455	-0.0034631	0.00138464
3.054197	97.929214	0.15429550000000003	0.611628	-0.246755	-0.915479	-0.00193804	-0.00320238	0.00112807
3.710842	118.983749	0.1803740000000001	0.647081	-0.24269	-0.986712	-0.001121	-0.00357208	0.00133379
3.396261	108.897079	0.12767965000000003	0.615919	-0.266626	-0.956523	-0.0008456069999999998	-0.00324291	0.0010905
3.612402	115.827385	0.12647765	0.635594	-0.256032	-0.938593	-0.00161834	-0.00358988	0.00153637
3.707636	118.880974	0.07365549999999997	0.619391	-0.242995	-0.917056	-0.00182142	-0.00360298	0.00129498
3.648826	116.9953	0.10353949999999996	0.646409	-0.238027	-0.942564	-0.00245573	-0.00359436	0.00157296
6.002205	192.453613	1.8923665	-0.627913	-0.228923	-0.924942	-0.00168621	0.00479843	-0.0010911
